,شهر,التاريخ,كود العميل,مدى الالتزام الفرع بالاجراءات الاحترازية,مدي رضاء العميل عن نظافة المكان,مدي رضاء العميل عن معاملة العاملين بالفرع,مدي رضاء العميل عن اسعار المنتجات داخل الفرع,مدي رضاء العميل عن تنوع المنتجات,نوع المكالمة
100,فبراير,2023-02-09,518196,5,5,5,5,5,شكر
101,فبراير,2023-02-09,608270,5,5,4,4,4,شكر
102,فبراير,2023-02-09,600945,5,5,5,5,5,شكر
103,فبراير,2023-02-09,608107,5,5,5,5,5,شكر
104,فبراير,2023-02-09,628164,5,5,5,5,5,شكر
105,فبراير,2023-02-10,602404,5,5,5,5,5,شكر
106,فبراير,2023-02-10,834085,5,5,5,5,5,شكر
107,فبراير,2023-02-10,835630,5,5,5,5,5,شكر
108,فبراير,2023-02-10,63741,5,5,5,5,5,شكر
109,فبراير,2023-02-10,508397,5,5,5,5,5,شكر
110,فبراير,2023-02-10,628339,5,5,5,5,5,شكر
111,فبراير,2023-02-10,516393,5,5,5,5,5,شكر
112,فبراير,2023-02-10,835392,5,5,5,5,5,شكر
113,فبراير,2023-02-10,605377,5,5,5,5,5,شكر
114,فبراير,2023-02-13,509389,5,5,5,5,5,شكر
115,فبراير,2023-02-13,623359,5,5,5,5,5,شكر
116,فبراير,2023-02-13,102778,5,5,5,5,5,شكر
117,فبراير,2023-02-13,509325,5,5,5,5,5,شكر
118,فبراير,2023-02-13,611473,5,5,5,1,5,شكوي
119,فبراير,2023-02-13,606287,5,5,5,5,5,شكر
120,فبراير,2023-02-13,522669,5,5,5,5,5,شكر
121,فبراير,2023-02-13,616398,5,5,5,5,5,شكر
122,فبراير,2023-02-13,528284,5,5,5,5,5,شكر
123,فبراير,2023-02-14,34505,5,5,5,5,5,شكر
124,فبراير,2023-02-14,833868,5,5,5,5,4,شكر
125,فبراير,2023-02-14,509933,5,5,5,5,5,شكر
126,فبراير,2023-02-14,525172,5,5,5,5,5,شكر
127,فبراير,2023-02-14,614441,5,5,5,5,5,شكوي
128,فبراير,2023-02-14,611652,5,5,5,5,5,شكر
129,فبراير,2023-02-14,614831,5,5,5,5,5,شكر
130,فبراير,2023-02-14,523088,3,3,5,3,3,شكوي
131,فبراير,2023-02-14,633123,5,5,5,5,5,شكر
132,فبراير,2023-02-15,622647,5,5,5,5,5,شكر
133,فبراير,2023-02-15,601450,5,5,5,5,5,شكر
134,فبراير,2023-02-15,612881,5,5,5,5,5,شكر
135,فبراير,2023-02-15,631798,5,5,5,5,5,شكر
136,فبراير,2023-02-15,789018,5,5,5,5,5,شكر
137,فبراير,2023-02-15,661003,5,5,5,5,5,شكر
138,فبراير,2023-02-15,633162,5,5,5,5,5,شكر
139,فبراير,2023-02-15,614662,5,5,5,5,5,شكر
140,فبراير,2023-02-15,612956,5,5,5,5,5,شكر
141,فبراير,2023-02-15,700910,5,5,5,5,5,شكر
142,فبراير,2023-02-16,103062,5,5,5,5,5,شكر
143,فبراير,2023-02-16,625747,5,5,5,5,5,شكر
144,فبراير,2023-02-16,518377,5,5,5,5,5,شكر
145,فبراير,2023-02-16,510399,5,5,5,5,5,شكر
146,فبراير,2023-02-16,631806,5,5,5,5,5,شكر
147,فبراير,2023-02-16,515278,5,5,5,5,5,شكر
148,فبراير,2023-02-16,615215,5,5,5,5,5,شكر
149,فبراير,2023-02-16,623956,5,5,5,5,5,شكر
150,فبراير,2023-02-16,516018,5,5,5,5,5,شكر
151,فبراير,2023-02-16,615384,5,5,5,5,5,شكر
152,فبراير,2023-02-17,608492,5,5,5,5,5,شكر
153,فبراير,2023-02-17,619394,5,5,5,5,5,شكر
154,فبراير,2023-02-17,624127,5,5,5,5,5,شكر
155,فبراير,2023-02-17,625636,5,5,5,5,5,شكر
156,فبراير,2023-02-17,516223,5,5,5,5,5,شكر
157,فبراير,2023-02-17,738984,5,5,5,5,5,شكر
158,فبراير,2023-02-17,623105,5,5,5,5,5,شكر
159,فبراير,2023-02-17,260645,5,5,5,5,5,شكر
160,فبراير,2023-02-18,510340,5,5,5,5,5,شكر
161,فبراير,2023-02-18,834883,5,5,5,5,5,شكر
162,فبراير,2023-02-18,602125,5,5,5,5,5,شكر
163,فبراير,2023-02-18,634053,5,5,5,5,5,شكر
164,فبراير,2023-02-18,665163,5,5,5,5,5,شكر
165,فبراير,2023-02-18,605422,5,5,5,5,5,شكر
166,فبراير,2023-02-21,513709,5,5,5,5,5,شكر
167,فبراير,2023-02-21,516094,5,5,5,5,5,شكر
168,فبراير,2023-02-21,529097,5,5,5,5,5,شكر
169,فبراير,2023-02-21,608312,5,5,5,5,5,شكر
170,فبراير,2023-02-21,635271,5,5,5,5,5,شكر
171,فبراير,2023-02-21,525863,5,5,5,5,5,شكر
172,فبراير,2023-02-21,604992,5,5,5,5,5,شكر
173,فبراير,2023-02-21,614981,5,5,5,5,5,شكر
174,فبراير,2023-02-21,835149,5,5,5,5,5,شكر
175,فبراير,2023-02-21,628647,5,5,5,5,5,شكر
176,فبراير,2023-02-23,834181,5,5,5,5,5,شكر
177,فبراير,2023-02-23,627544,5,5,5,5,5,شكر
178,فبراير,2023-02-23,837479,5,5,5,5,5,شكر
179,فبراير,2023-02-23,608188,5,5,5,5,5,شكر
180,فبراير,2023-02-23,509895,5,5,5,5,5,شكر
181,فبراير,2023-02-23,631568,5,5,5,5,5,شكر
182,فبراير,2023-02-23,517667,5,5,5,1,5,شكوي
183,فبراير,2023-02-23,838156,5,5,5,5,5,شكر
184,فبراير,2023-02-23,508609,5,5,5,5,5,شكر
185,فبراير,2023-02-23,606184,5,5,5,5,5,شكر
186,فبراير,2023-02-25,526171,3,3,3,3,3,شكوي
187,فبراير,2023-02-25,837622,5,5,5,5,5,شكر
188,فبراير,2023-02-25,837968,5,5,5,5,5,شكر
189,فبراير,2023-02-25,635429,5,5,5,5,5,شكر
190,فبراير,2023-02-25,610101,3,3,3,3,3,شكوي
191,فبراير,2023-02-25,261373,5,5,5,5,5,شكر
192,فبراير,2023-02-25,621169,5,5,5,5,5,شكر
193,فبراير,2023-02-25,600511,4,4,4,4,4,شكر
194,فبراير,2023-02-25,602231,5,5,5,5,5,شكر
195,فبراير,2023-02-25,603256,5,5,5,5,5,شكر
196,فبراير,2023-02-27,837749,5,5,5,5,5,شكر
197,فبراير,2023-02-27,529380,5,5,5,5,5,شكر
198,فبراير,2023-02-27,608772,5,5,5,5,5,شكر
199,فبراير,2023-02-27,835787,5,5,5,5,5,شكر
200,فبراير,2023-02-27,608558,5,5,5,5,5,شكر
201,فبراير,2023-02-27,627746,5,5,5,5,5,شكوي
202,فبراير,2023-02-27,612735,5,5,5,5,5,شكر
203,فبراير,2023-02-27,738911,5,5,5,5,5,شكر
204,فبراير,2023-02-27,628671,5,5,5,5,5,شكر
205,فبراير,2023-02-28,626905,5,5,5,5,5,شكر
206,فبراير,2023-02-28,635235,5,5,5,5,5,شكر
207,فبراير,2023-02-28,514764,2,2,5,2,2,استفسار
208,فبراير,2023-02-28,520227,5,5,5,5,5,شكر
209,فبراير,2023-02-28,613880,5,5,5,5,5,شكوي
210,فبراير,2023-02-28,47639,5,5,5,5,5,شكر
211,فبراير,2023-02-28,516625,5,5,5,5,5,شكر
212,فبراير,2023-02-28,514555,5,5,5,5,5,شكر
213,فبراير,2023-02-28,834384,5,5,5,5,5,شكر
214,فبراير,2023-02-28,516675,5,5,5,5,5,شكر
215,مايو,2023-05-02,635019,5,5,5,5,5,شكر
216,مايو,2023-05-02,620995,5,5,5,5,5,شكر
